claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R2-317,son_speedup,21× → 21.4×,Discussion 4.1 speedup wording (old → new),hardware-dependent,requests,F2,570–576,"Replace: ""a $21\times$ speedup (50.7\,s vs.\ 1,085.6\,s)"" With: … a $21.4\times$ speedup (50.7\,s vs.\ 1,085.6\,s)"
R2-318,kdist_v35k_wave3_k1_count,"1,164",Base (0.1%) K=1 frequent items,deterministic,asserts-own,F2,"588, 608","K=1:   1,164 frequent items (0.3s)"
R2-319,run_v35k_wave3_k1_time_s,0.3 s,Base K=1 time,hardware-dependent,asserts-own,F2,588,"K=1:   1,164 frequent items (0.3s)"
R2-320,kdist_v35k_wave3_k2_count,"8,554",Base K=2 frequent pairs,deterministic,asserts-own,F2,"589, 609","K=2:   8,554 frequent pairs (1.2s)"
R2-321,run_v35k_wave3_k2_time_s,1.2 s,Base K=2 time,hardware-dependent,asserts-own,F2,589,"K=2:   8,554 frequent pairs (1.2s)"
R2-322,kdist_v35k_wave3_k3_count,"28,804",Base K=3 frequent,deterministic,asserts-own,F2,"590, 609","K=3:  28,804 frequent (2.0s)"
R2-323,run_v35k_wave3_k3_time_s,2.0 s,Base K=3 time,hardware-dependent,asserts-own,F2,590,"K=3:  28,804 frequent (2.0s)"
R2-324,kdist_v35k_wave3_k4_count,"88,561",Base K=4 frequent,deterministic,asserts-own,F2,"591, 609","K=4:  88,561 frequent (5.3s)"
R2-325,run_v35k_wave3_k4_time_s,5.3 s,Base K=4 time,hardware-dependent,asserts-own,F2,591,"K=4:  88,561 frequent (5.3s)"
R2-326,kdist_v35k_wave3_k5_count,"280,784",Base K=5 frequent,deterministic,asserts-own,F2,"592, 609","K=5: 280,784 frequent (17.5s)"
R2-327,run_v35k_wave3_k5_time_s,17.5 s,Base K=5 time,hardware-dependent,asserts-own,F2,592,"K=5: 280,784 frequent (17.5s)"
R2-328,kdist_v35k_wave3_k6_count,"835,466",Base K=6 frequent,deterministic,asserts-own,F2,"593, 609","K=6: 835,466 frequent (52.1s)"
R2-329,run_v35k_wave3_k6_time_s,52.1 s,Base K=6 time,hardware-dependent,asserts-own,F2,593,"K=6: 835,466 frequent (52.1s)"
R2-330,kdist_v35k_wave3_k7_count,"2,207,022",Base K=7 frequent,deterministic,asserts-own,F2,"594, 610","K=7: 2,207,022 frequent (145.3s)"
R2-331,run_v35k_wave3_k7_time_s,145.3 s,Base K=7 time,hardware-dependent,asserts-own,F2,594,"K=7: 2,207,022 frequent (145.3s)"
R2-332,kdist_v35k_wave3_k8_count,"5,063,845",Base K=8 frequent,deterministic,asserts-own,F2,"595, 610","K=8: 5,063,845 frequent (348.5s)"
R2-333,run_v35k_wave3_k8_time_s,348.5 s,Base K=8 time,hardware-dependent,asserts-own,F2,595,"K=8: 5,063,845 frequent (348.5s)"
R2-334,run_v35k_wave3_k9_time_s,743.4 s,Base K=9 time,hardware-dependent,asserts-own,F2,596,"K=9: 10,041,611 frequent (743.4s)"
R2-335,run_v35k_wave3_kmax,> 15,expected Base K-max (prediction),deterministic,asserts-own,F2,600–601,"At 0.1% support with 35K features, we may see K-max > 15 and total itemsets in the tens of millions."
R2-336,run_v35k_wave3_itemsets,tens of millions,expected Base total itemsets (prediction),deterministic,asserts-own,F2,"601, 611–612",the complete Base run will yield tens of millions of itemsets at high $K$ values
R2-337,hw_v35k_gpu_vram_gb,141 GB,H200 SXM5 VRAM (hardware section),hardware-dependent,asserts-own,F2,625,"performed on 4$\times$NVIDIA H200 SXM5 141\,GB GPUs with 1.5\,TB host RAM"
R2-338,hw_v35k_host_ram_tb,1.5 TB,host RAM,hardware-dependent,asserts-own,F2,625,"141\,GB GPUs with 1.5\,TB host RAM"
R2-339,sw_v35k_python,Python 3.12,software version,software,asserts-own,F2,625,"running Python~3.12, CuPy~13.4, NumPy~2.0, CUDA~12.6, and Ubuntu~22.04"
R2-340,sw_v35k_cupy,CuPy 13.4,software version,software,asserts-own,F2,625,"running Python~3.12, CuPy~13.4, NumPy~2.0, CUDA~12.6, and Ubuntu~22.04"
R2-341,sw_v35k_numpy,NumPy 2.0,software version,software,asserts-own,F2,626,"NumPy~2.0, CUDA~12.6, and Ubuntu~22.04"
R2-342,sw_v35k_cuda,CUDA 12.6,software version,software,asserts-own,F2,626,"NumPy~2.0, CUDA~12.6, and Ubuntu~22.04"
R2-343,sw_v35k_os,Ubuntu 22.04,OS version,software,asserts-own,F2,626,"NumPy~2.0, CUDA~12.6, and Ubuntu~22.04"
R2-344,run_v35k_transactions_per_gpu,~27.3M,proteins per GPU (row-split),deterministic,asserts-own,F2,627,The row-split architecture distributes ${\sim}27.3$M proteins per GPU
R2-345,alg_pcie_bytes_per_level,~12 bytes,nccl.allReduce payload per K-level,deterministic,asserts-own,F2,630,"Local support counts are reduced across GPUs via \texttt{nccl.allReduce} with ${\sim}12$\,bytes per $K$-level."
R2-346,meta_review_jun01_tex_lines,968,lines in `et_miner_proteome.tex` (reviewed version),deterministic,asserts-own,F3,4,`/home/et/personal-projects/et-miner/papers/et_miner_proteome.tex` (968 regels)
R2-347,run_opus_itemsets,"26,849,505",kdist sum K=1..22 (recounted by hand),deterministic,asserts-own,F3,"18, 94, 98","kdist K=1..22 = 26,849,505 exact … kdist-som = 26,849,505 (handmatig nageteld ✓)"
R2-348,run_v35k_16p8b_itemsets,"16,812,646,639",expanded-run cumulative itemsets (sum verified),deterministic,asserts-own,F3,"18, 98","expanded cumulatief = 16,812,646,639 exact"
R2-349,run_blitz_vs_power_speedup,9×,speedup/ratio in paper (verified),hardware-dependent,quotes-paper,F3,"19, 100","speedup-ratio's (9×, 124×, 21×, 95.2%, 5.1×) kloppen binnen afronding"
R2-350,run_blitz_vs_power_itemset_ratio,124×,speedup/ratio in paper (verified),hardware-dependent,quotes-paper,F3,"19, 100","speedup-ratio's (9×, 124×, 21×, 95.2%, 5.1×) kloppen binnen afronding"
R2-351,son_speedup,21×,Direct-vs-SON speedup in paper (verified),hardware-dependent,quotes-paper,F3,"19, 100","speedup-ratio's (9×, 124×, 21×, 95.2%, 5.1×) kloppen binnen afronding"
R2-352,son_miss_rate_pct,95.2%,SON miss rate in paper (verified),deterministic,quotes-paper,F3,"19, 101","speedup-ratio's (9×, 124×, 21×, 95.2%, 5.1×) kloppen binnen afronding"
R2-353,run_opus_vs_gminer_transaction_ratio,5.1×,scale ratio vs GMiner in paper (verified),deterministic,quotes-paper,F3,"19, 55, 101","""15M"" (scale-tabel, basis van de 5.1×-claim)"
R2-354,meta_review_jun01_bibitems,37,`\bibitem` entries (r574–757),deterministic,asserts-own,F3,31,"Bibliografie: 37 `\bibitem` (r574–757). 32 distincte `\cite`-keys, allemaal resolvend"
R2-355,meta_review_jun01_cite_keys,32,"distinct `\cite` keys, all resolving",deterministic,asserts-own,F3,31,"32 distincte `\cite`-keys, allemaal resolvend (geen broken refs)"
R2-356,meta_review_jun01_coin2009_pages,3077 → 3077–3083,coin2009 (actually Terrapon et al.) page range (old → new),external-fact,disputes,F3,39,Pagina's ook incompleet (3077 → 3077–3083)
R2-357,meta_review_jun01_varadi2022_pages,50(D1):D419–D427 → D439–D444,varadi2022 page range (old → new),external-fact,disputes,F3,"40, 149",`50(D1):D419--D427` → moet **D439–D444** zijn
R2-358,meta_review_jun01_mistry2021_pages,D412–D419,"mistry2021 page range (r712), source of the copy error",external-fact,quotes-paper,F3,40,"collideert exact met de echte range van `mistry2021` (`D412--D419`, r712) → klassieke copy-fout"
R2-359,ext_bigminer_transactions,100M,BIGMiner transactions as stated in paper table,external-fact,disputes,F3,41,"Tabel zegt BIGMiner = ""100M transactions / 30× servers"""
R2-360,ext_bigminer_nodes,30,BIGMiner servers/nodes as stated in paper (unverifiable),external-fact,disputes,F3,41,"Het ""30 nodes""-getal is niet verifieerbaar uit open bronnen."
R2-361,ext_bigminer_transactions,6.5 billion,BIGMiner transactions per the BIGMiner paper,external-fact,asserts-own,F3,41,"De BIGMiner-paper rapporteert schaling tot **6,5 miljard** transacties"
R2-362,ext_bigminer_transactions_ratio,≈65×,6.5B / 100M,external-fact,asserts-own,F3,41,(≈65× meer dan de geclaimde 100M)
R2-363,ext_prior_gpu_fim_scale_gap_orders,three orders of magnitude,paper's scale claim vs prior work,deterministic,disputes,F3,41,"verzwak je juist de claim ""three orders of magnitude beyond any prior result"""
R2-364,ext_meysman_structures,~100K,Meysman2015 structures as stated in paper (r499),external-fact,disputes,F3,47,"Claim-support: ""limited to ${\sim}100$K structures"" — werkelijk **~32.142** structuren (overschat ~3×)"
R2-365,ext_meysman_structures,"~32,142",Meysman2015 structures (actual),external-fact,asserts-own,F3,47,werkelijk **~32.142** structuren (overschat ~3×)
R2-366,ext_meysman_overestimate_ratio,~3×,overestimate factor,external-fact,asserts-own,F3,47,(overschat ~3×)
R2-367,ext_meysman_structures,~32K,suggested replacement value,external-fact,requests,F3,47,`${\sim}32$K structures`
R2-368,meta_review_jun01_acmsurvey2021_pages,"54(7):1–36 → 54(9), Article 179 (179:1–179:35)",acmsurvey2021 issue/pages (old → new),external-fact,disputes,F3,48,"Issue + pagina's fout: `54(7):1--36` → **54(9), Article 179 (179:1–179:35)**"
R2-369,meta_review_jun01_fang2009_reference,"2008 tech-report title vs DaMoN 2009 paper, pp 34–42",fang2009 title/venue/pages,external-fact,disputes,F3,49,"de titel van het **2008 HKUST tech-report**; de DaMoN-2009 workshop-paper heet ""**Frequent itemset mining on graphics processors**"" (pp 34–42)"
R2-370,meta_review_jun01_chon2024_reference,"vol 250, Art. 123928",chon2024 ESWA volume/article (title wrong),external-fact,asserts-own,F3,50,"ESWA vol 250, Art. 123928."
R2-371,meta_review_jun01_varadi2024_pages,52(D1):D368 → D368–D375,varadi2024 page range (old → new),external-fact,disputes,F3,51,Ontbrekende eind-pagina: `52(D1):D368` → **D368–D375**
R2-372,meta_review_jun01_chon2018b_pages,21:1507–1521 → 21(3):1507–1520,chon2018b pages (old → new),external-fact,disputes,F3,52,Eind-pagina off-by-one: `21:1507--1521` → **21(3):1507–1520**
R2-373,meta_review_jun01_savasere1995_pages,pp. 432–444,savasere1995 pages (missing in paper),external-fact,requests,F3,53,Pagina's ontbreken volledig. | `pp.\ 432--444`
R2-374,ext_prior_gpu_fim_speedup_range,50–350×,GPU speedup range claimed in paper (r106; range verified),external-fact,quotes-paper,F3,54,"voor ""GPU achieved 50–350× speedups"" … De range zelf klopt"
R2-375,ext_djenouri2019_speedup,350×,djenouri2019 speedup (confirmed),external-fact,asserts-own,F3,54,"(350× = djenouri2019, 100× = zhang2011, beide bevestigd)"
R2-376,ext_gpapriori_speedup,100×,zhang2011 speedup (confirmed),external-fact,asserts-own,F3,54,"(350× = djenouri2019, 100× = zhang2011, beide bevestigd)"
R2-377,meta_review_jun01_gpu_cite_cluster_cpu_algorithms,2,"CPU algorithms (han2000 FP-Growth, zaki2000 Eclat) wrongly inside the GPU-speedup cite cluster",external-fact,disputes,F3,54,"bundelt twee **CPU-algoritmes** (`han2000` FP-Growth, `zaki2000` Eclat) onder een GPU-speedup-claim"
R2-378,ext_gminer_transactions,15M,"GMiner transactions, scale table (r466)",external-fact,disputes,F3,55,"Zelfde systeem krijgt ""15M"" (scale-tabel, basis van de 5.1×-claim) én ""1.7M (real)"""
R2-379,ext_gminer_transactions_real,1.7M,"GMiner transactions, gpu-arch table (r877)",external-fact,quotes-paper,F3,55,"én ""1.7M (real)"" (gpu-arch-tabel). 1.7M = webdocs FIMI (bevestigd 1,692,082)"
R2-380,ext_gminer_transactions_real,"1,692,082",webdocs FIMI transaction count,external-fact,asserts-own,F3,55,"1.7M = webdocs FIMI (bevestigd 1,692,082)"
R2-381,ext_gminer_hardware,4× GTX 1080,GMiner hardware as stated in paper (unverifiable),hardware-dependent,quotes-paper,F3,55,"(GPU ""4× GTX 1080"" niet verifieerbaar — paywall.)"
R2-382,meta_review_jun01_orphan_bibitems,5 (cited 0×),"orphan bibitems: webb2007, webb2014, abramson2024, zaki1997, miettinen2020",deterministic,asserts-own,F3,59–60,"`webb2007` (r724), `webb2014` (r729), `abramson2024` (r734), `zaki1997` (r749), `miettinen2020` (r754) — … **nergens ge-`\cite`d**"
R2-383,csr_nnz,316M,CSR nnz (r175),deterministic,quotes-paper,F3,76,"Body: ""316M nnz, ~5.1 GB, **two** 64-bit ints/entry"" (16 B/entry, COO-paar)"
R2-384,csr_bytes_gb,~5.1 GB,CSR/COO size (r175),deterministic,quotes-paper,F3,76,"Body: ""316M nnz, ~5.1 GB, **two** 64-bit ints/entry"""
R2-385,alg_coo_bytes_per_entry,2 × 64-bit ints = 16 B/entry,COO entry size (r175),deterministic,quotes-paper,F3,76,"""**two** 64-bit ints/entry"" (16 B/entry, COO-paar)"
R2-386,csr_h2d_transfer_gb,~3 GB,H2D transfer size (r179/r485),deterministic,quotes-paper,F3,76,"Elders: H2D-transfer ""~3 GB"" (alleen kolom-index, 8 B → 316M×8=2.53 GB)"
R2-387,mem_csr_bytes_per_entry,8 B/entry,CSR column-index entry size (appendix r920),deterministic,quotes-paper,F3,76,"Appendix-tabel: ""CSR (**8** bytes/entry)"" → 19 GB voor 214M"
R2-388,csr_h2d_transfer_gb,2.53 GB,316M × 8 B,deterministic,asserts-own,F3,76,"(alleen kolom-index, 8 B → 316M×8=2.53 GB)"
R2-389,mem_csr_214m_gb,19 GB,CSR size for 214M proteins (appendix r920),deterministic,quotes-paper,F3,"76, 152","Appendix-tabel: ""CSR (**8** bytes/entry)"" → 19 GB voor 214M"
R2-390,meta_review_jun01_csr_size_variants,3 (3 / 5.1 / 19 GB),distinct CSR sizes given without labels,deterministic,disputes,F3,"76, 152","Drie cijfers (3 / 5.1 / 19 GB) voor ""CSR"" zonder dat de lezer ze kan rijmen."
R2-391,mem_csr_nnz_214m,nnz of the 214M set,value missing from paper,deterministic,requests,F3,76,geef de nnz van de 214M-set (nu nergens vermeld)
R2-392,csr_vs_dense_full_ratio,40×,memory reduction (r175),deterministic,quotes-paper,F3,77,"40× = naïeve **byte**-matrix (206 GB, 1 B/boolean) ÷ CSR-COO (5.1 GB)"
R2-393,mem_ratio_214m,1.4×,memory reduction (r908/r920),deterministic,quotes-paper,F3,77,1.4× = **bitpacked** dense (27 GB) ÷ CSR (19 GB)
R2-394,dense_gb,206 GB,naïve byte matrix (1 B/boolean),deterministic,quotes-paper,F3,"77, 152","naïeve **byte**-matrix (206 GB, 1 B/boolean)"
R2-395,alg_dense_bytes_per_bool,1 B/boolean,byte-matrix convention,deterministic,asserts-own,F3,77,206 GB = 1 byte/boolean (niet bitpacked)
R2-396,mem_dense_214m_gb,27 GB,bitpacked dense (appendix),deterministic,quotes-paper,F3,77,**bitpacked** dense (27 GB) ÷ CSR (19 GB)
R2-397,bitvec_gb,26 GB,actual on-GPU bitvector,deterministic,asserts-own,F3,"77, 152","de echte on-GPU bitvector is 26 GB = de ""27 GB"" appendix-dense, factor ~8 kleiner"
R2-398,mem_dense_vs_bitvec_ratio,~8×,206 GB / 26 GB,deterministic,asserts-own,F3,77,factor ~8 kleiner
R2-399,mem_v35k_bitvec_gb,~445 GB,expanded bitvector size (r258),deterministic,disputes,F3,78,**`~445 GB` expanded bitvector: GB/GiB-mix**
R2-400,mem_v35k_16p8b_bitvec_per_device_gb,~56 GB/device,expanded per-device bitvector (paper),deterministic,quotes-paper,F3,78,"""~56 GB/device × 8"" = 448, niet 445"
R2-401,run_v35k_16p8b_n_gpus,8,"devices in the expanded run (r258 ""× 8""; r965 ""× 8"")",hardware-dependent,quotes-paper,F3,"78, 92","""~56 GB/device × 8"" = 448 … ""$332 ≈ $3.50/GPU/uur × 8 × ~12h"""
R2-402,mem_v35k_bitvec_gb,448 GB,56 × 8,deterministic,asserts-own,F3,78,"""~56 GB/device × 8"" = 448, niet 445"
R2-403,mem_v35k_bitvec_gb,478 GB,109.2M × 35012 / 8 (decimal GB),deterministic,asserts-own,F3,78,Decimaal 109.2M×35012/8 = **478 GB**
R2-404,run_v35k_n_transactions,109.2M,expanded protein count,deterministic,quotes-paper,F3,78,Decimaal 109.2M×35012/8 = **478 GB**
R2-405,vocab_v35k_items,35012,expanded feature count,deterministic,quotes-paper,F3,78,Decimaal 109.2M×35012/8 = **478 GB**
R2-406,mem_v35k_bitvec_gb,445.19 GiB,same size in GiB,deterministic,asserts-own,F3,78,445 klopt **alleen** als **GiB** (445.19 GiB)
R2-407,mem_v35k_16p8b_bitvec_per_device_gb,55.6 GiB,56 GB per device in GiB,deterministic,asserts-own,F3,78,"als GiB, dan is ""56 GB/device"" ook fout (→ 55.6 GiB)"
R2-408,null_p_bound_kge7,p < 0.17,"one-sided binomial p for 0/5 permutations > K=6 (r414, r429, r435)",deterministic,disputes,F3,"84, 142, 153","""$p < 0.17$ by one-sided binomial test"" … **Niet onderbouwd door de standaard one-sided binomiale upper bound.**"
R2-409,null_perms_reaching_kge7,0/5,permutations exceeding K=6,deterministic,quotes-paper,F3,84,(0/5 permutaties > K=6)
R2-410,null_kmax,K=6,1K null-model ceiling,deterministic,quotes-paper,F3,84,(0/5 permutaties > K=6)
R2-411,null_p_bound_kge7,≈0.45,95% upper bound for 0 successes in 5 trials,deterministic,asserts-own,F3,"84, 153",Voor 0 successen in 5 trials is de 95%-upper-bound ≈ **0.45**
R2-412,null_p_bound_kge7_rule_of_three,3/5 = 0.6,rule-of-three bound,deterministic,asserts-own,F3,84,(rule-of-three 3/5 = 0.6)
R2-413,null_p_bound_kge7,1/6,"0.17 ≈ 1/6, origin unclear",deterministic,asserts-own,F3,84,0.17 ≈ 1/6 — herkomst onduidelijk en oogt te optimistisch.
R2-414,run_v35k_min_count,"1,092",expanded-run min_count (r260),method-parameter,disputes,F3,90,"min_count expanded = 1,092 | 260 | ⌈0.001%×109,224,173⌉ = ⌈1092.24⌉ = **1093**"
R2-415,run_v35k_n_transactions,"109,224,173",expanded-run n (exact),deterministic,quotes-paper,F3,90,"⌈0.001%×109,224,173⌉ = ⌈1092.24⌉ = **1093**"
R2-416,run_v35k_min_count_raw,1092.24,"0.001% × 109,224,173",deterministic,asserts-own,F3,90,"⌈0.001%×109,224,173⌉ = ⌈1092.24⌉ = **1093**"
R2-417,run_v35k_min_count,"1,092 → 1093",min_count fix (old → new) if ceil is used,method-parameter,requests,F3,90,"1092→1093, óf vermeld dat round() gebruikt is en pas r800 aan."
R2-418,run_power_min_count,769,Power min_count (ceil applied),method-parameter,quotes-paper,F3,90,Power gebruikt wél ceil (769). Richting inconsistent.
R2-419,cost_saving_usd,$243,saving stated in paper (r965),hardware-dependent,disputes,F3,91,"""$243 saving"" | 965 | 332 − 90 = **242**, niet 243."
R2-420,cost_expanded_run_usd,$332,run cost stated in paper,hardware-dependent,quotes-paper,F3,"91, 92","332 − 90 = **242** … ""$332 ≈ $3.50/GPU/uur × 8 × ~12h"""
R2-421,cost_comparison_usd,$90,comparison cost stated in paper,hardware-dependent,quotes-paper,F3,91,"332 − 90 = **242**, niet 243."
R2-422,cost_saving_usd,$243 → $242,saving (old → new),hardware-dependent,requests,F3,91,`\$242`
R2-423,cost_gpu_hour_usd,$3.50/GPU/hour,GPU rental price used in paper (r940),external-fact,quotes-paper,F3,92,"""$332 ≈ $3.50/GPU/uur × 8 × ~12h"""
R2-424,cost_expanded_run_hours,~12 h,run duration used in paper cost formula,hardware-dependent,quotes-paper,F3,92,"""$332 ≈ $3.50/GPU/uur × 8 × ~12h"" | 965 vs 940"
R2-425,cost_expanded_run_usd,$336,3.50 × 8 × 12,hardware-dependent,asserts-own,F3,92,"3.50×8×12 = **$336**; $332 impliceert 11.86 h (≠ ""~12 hours"")"
R2-426,cost_expanded_run_hours,11.86 h,hours implied by $332,hardware-dependent,asserts-own,F3,92,"$332 impliceert 11.86 h (≠ ""~12 hours"")"
R2-427,dataset_single_feature_pct,62.6%,"excluded single-feature proteins (Limitation 4, r525; base run)",deterministic,quotes-paper,F3,"93, 99","""excludes ... (62.6%)"" (Limitation 4) | 525 | Getal correct voor de **base**-run (37.4+62.6=100)"
R2-428,dataset_multi_feature_pct,37.4%,multi-feature share (base run),deterministic,quotes-paper,F3,"93, 99",Getal correct voor de **base**-run (37.4+62.6=100)
R2-429,run_v35k_coverage_pct,53.1%,expanded-run coverage claim,deterministic,quotes-paper,F3,"93, 99",spanning met de 53.1%-expanded-claim
R2-430,run_opus_itemsets,26.8M,"total itemsets as written (r301, r306)",deterministic,disputes,F3,94,"""26.8M total"" | 301, 306 | 26,849,505 → 26.85M; ""26.8M"" is **truncatie** i.p.v. afronding"
R2-431,run_opus_itemsets,26.85M,correct 2-decimal rounding,deterministic,asserts-own,F3,94,"26,849,505 → 26.85M"
R2-432,run_opus_itemsets,26.9M,correct 1-decimal rounding,deterministic,asserts-own,F3,94,"""26.8M"" is **truncatie** i.p.v. afronding (zou 26.9M zijn)"
R2-433,misc_growth_factors_n,7,growth factors in paper (all verified),deterministic,quotes-paper,F3,99,alle 7 groeifactoren (25.8×…3.4×) ✓
R2-434,misc_growth_factor_max,25.8×,largest growth factor,deterministic,quotes-paper,F3,99,alle 7 groeifactoren (25.8×…3.4×) ✓
R2-435,misc_growth_factor_min,3.4×,smallest growth factor,deterministic,quotes-paper,F3,99,alle 7 groeifactoren (25.8×…3.4×) ✓
R2-436,run_base_min_count,"76,891",largest min_count (base run),method-parameter,quotes-paper,F3,99,"alle min_counts (76,891 … 8) ✓"
R2-437,run_opus_min_count,8,smallest min_count,method-parameter,quotes-paper,F3,99,"alle min_counts (76,891 … 8) ✓"
R2-438,kdist_opus_peak_pct,13.14%,percentage in paper (quantity unspecified; verified),deterministic,quotes-paper,F3,100,37.4% / 53.1% / 13.14% ✓
R2-439,null_z_min_k4to6,"Z > 3,700 for K=4–6","Z-scores, abstract↔table↔conclusion",deterministic,quotes-paper,F3,100,"Z>3,700 voor K=4–6 consistent abstract↔tabel↔conclusie ✓"
R2-440,run_power_direct_itemsets,"475,865",null-table Bio column total = Direct-GPU total,deterministic,quotes-paper,F3,101,"null Bio-kolom = 475,865 = Direct-GPU-totaal ✓"
R2-441,misc_pruning_saving_1_pct,0.32,"pruning factor, technique 1",hardware-dependent,quotes-paper,F3,101,pruning 1−(0.32)(0.88)(0.96) = 73% ✓
R2-442,misc_pruning_saving_2_pct,0.88,"pruning factor, technique 2",hardware-dependent,quotes-paper,F3,101,pruning 1−(0.32)(0.88)(0.96) = 73% ✓
R2-443,misc_pruning_saving_3_pct,0.96,"pruning factor, technique 3",hardware-dependent,quotes-paper,F3,101,pruning 1−(0.32)(0.88)(0.96) = 73% ✓
R2-444,misc_pruning_combined_saving_pct,73%,combined projected K=9 runtime reduction,hardware-dependent,quotes-paper,F3,"102, 115","pruning 1−(0.32)(0.88)(0.96) = 73% ✓ … ""are estimated to reduce $K{=}9$ runtime by approximately 73%"""
R2-445,alg_pcie_bytes_total,~264 B,total allreduce transfer (22 × 12),deterministic,quotes-paper,F3,102,~264 B totaal transfer (22×12) ✓
R2-446,run_opus_kmax,22,K-levels in the transfer calculation,deterministic,quotes-paper,F3,102,~264 B totaal transfer (22×12) ✓
R2-447,alg_pcie_bytes_per_level,12 bytes,per-K-level allreduce transfer (r842/r873),deterministic,quotes-paper,F3,"102, 127",`$\sim$12 bytes` (873) vs `${\sim}12$~bytes` (842)
R2-448,meta_review_jun01_endash_examples,70–90 / 583–589 / K=4–8,"en-dash range examples (pLDDT bin, citation pages, K range)",external-fact,quotes-paper,F3,109,"en-dash-ranges (`70--90`, `583--589`, `$K{=}4$--$8$`) zijn consistent en correct toegepast"
R2-449,misc_pruning_k,K=9,"level of the projected runtime reduction (r92, r549)",deterministic,quotes-paper,F3,115,"""we estimate would reduce** $K{=}9$ runtime …"""
R2-450,meta_review_jun01_etminer_spelling_count,40+,"occurrences of ""ET-miner"" (vs one ""ET-Miner"", r795)",deterministic,asserts-own,F3,121,enige uitschieter tussen 40+ `ET-miner`
R2-451,run_opus_time_min,7.3 minutes,"run time (r121, r92)",hardware-dependent,quotes-paper,F3,123,"r121 `7.3~minutes` (beschermd), r92/r130/r549 plain spatie (""7.3 minutes"", ""63 minutes"", ""4.3 hours"")"
R2-452,extract_time_min,63 minutes,run time (r130),hardware-dependent,quotes-paper,F3,123,"(""7.3 minutes"", ""63 minutes"", ""4.3 hours"")"
R2-453,run_v35k_16p8b_time_h,4.3 hours,run time (r549; expanded 35K run per l.143),hardware-dependent,quotes-paper,F3,"123, 143","(""7.3 minutes"", ""63 minutes"", ""4.3 hours"") … **16,8 miljard itemsets t/m K=8, 4.3 uur**"
R2-454,hw_gpu_vram_gb,80 GB,"house-style unit example (`80\,GB`)",hardware-dependent,quotes-paper,F3,123,"Huis-stijl is `\,` (80\,GB)."
R2-455,meta_review_jun01_author_model_name,Opus 4.6,"model name in author info (r559 ""Opus4.6"")",software,quotes-paper,F3,125,**`Opus4.6`** mist spatie (author-info). | `Opus 4.6`
R2-456,vocab_composition,247/752/3 → 500/500/2,Table 1 breakdown fixed between versions (r143–150),deterministic,asserts-own,F3,"138, 149","Table 1 feature-breakdown ""fabricated"" (247/752/3) | ✅ **GEFIXT** — toont nu 500/500/2 (r143–150)."
R2-457,vocab_plddt_frequent,2,"pLDDT bins, Run 1 (current version, r150)",deterministic,quotes-paper,F3,140,pLDDT-bins 3 vs 2 | ✅ **GEFIXT** — Run 1 = 2 bins (r150).
R2-458,run_v35k_itemsets,"606,292",35K @0.001% itemsets per revision_notes_b3,deterministic,quotes-paper,F3,143,"`revision_notes_b3.tex` noteerde voor de 35K-run @ 0.001%: **606,292 itemsets, K_max=17, 654 s**"
R2-459,run_v35k_kmax,K_max=17,35K @0.001% max K per revision_notes_b3,deterministic,quotes-paper,F3,143,"**606,292 itemsets, K_max=17, 654 s**"
R2-460,run_v35k_time_s,654 s,35K @0.001% time per revision_notes_b3,hardware-dependent,quotes-paper,F3,143,"**606,292 itemsets, K_max=17, 654 s**"
R2-461,run_v35k_16p8b_itemsets,16.8 billion,35K @0.001% itemsets through K=8 (current paper),deterministic,quotes-paper,F3,143,"De huidige paper claimt voor dezelfde run **16,8 miljard itemsets t/m K=8, 4.3 uur**"
R2-462,run_v35k_16p8b_kmax,K=8,depth reached in current paper's 35K run,deterministic,quotes-paper,F3,143,"**16,8 miljard itemsets t/m K=8, 4.3 uur**"
R2-463,run_v35k_16p8b_vs_v35k_itemset_ratio,"~27,000×",ratio between the two 35K results,deterministic,asserts-own,F3,143,Dat is ~27.000× verschil — vrijwel zeker het effect van de eerder genoemde **NCCL int32-overflow bugfix**
R2-464,sw_nccl_overflow_int_width,int32,NCCL overflow bug (integer width),software,asserts-own,F3,143,het effect van de eerder genoemde **NCCL int32-overflow bugfix** (pre-fix undercount)
R2-465,vocab_pfam_frequent,247,"Pfam domains, Run 1 (paper Table 1, lines 143–145)",deterministic,disputes,F4,"15, 20, 22",Pfam domains & InterPro/Pfam & 247 & --- \\ … The numbers 247 and 752 do not correspond to any configuration in the codebase.
R2-466,vocab_go_frequent,752,"GO terms, Run 1 (paper Table 1)",deterministic,disputes,F4,"16, 20, 22","GO terms & Gene Ontology & 752 & 5,763 \\"
R2-467,vocab_v35k_go,"5,763","GO terms, Run 2 (paper Table 1)",deterministic,quotes-paper,F4,16,"GO terms & Gene Ontology & 752 & 5,763 \\"
R2-468,vocab_plddt_frequent,3,"pLDDT bins, Run 1 (paper Table 1)",deterministic,disputes,F4,"17, 20, 70",pLDDT confidence bins & AlphaFold & 3 & 6 \\ … Table 1 claims 3 pLDDT bins for Run 1.
R2-469,vocab_v35k_plddt_bins,6,"pLDDT bins, Run 2 / defined in item mapping",deterministic,quotes-paper,F4,"17, 70",pLDDT confidence bins & AlphaFold & 3 & 6 \\ … The item mapping defines 6 bins but 4 have < 8 proteins.
