uniprotAccession,globalMetricValue
A0A7J3X9A1,93.44
A0A7J3M3R2,95.88
A0A7J3M3E2,94.38
A0A7J3Z6N1,92.69
D3SS24,84.19
A0A643JYS1,87.69
A0A643JZC3,94.12
A0A1M4MMQ0,80.81
A0A7J3QEX5,93.5
A0A7J3XYI0,79.75
D3SSI5,70.06
A0A1N6YJE7,91.56
A0A7J3Z765,88.94
A0A1I0DFF5,94.81
A0A1I0J1U5,93.0
A0A1I6X9N3,83.75
A0A7J3SNB8,85.44
A0A7J3QEC5,91.38
A0A024BNN0,70.44
A0A023UJH4,97.81
A0A650CV37,97.25
A0A1L3Q1N7,93.44
A0A7J3Z819,93.44
C0LL07,97.81
A5YSQ3,94.56
A0A483DWR7,85.56
F7PKT0,76.06
R9RK01,82.81
K4NQY5,67.94
X5D000,75.0
A0A285FYE5,95.25
B5LS05,73.0
A0A7J2U212,81.81
A0A7J3Z9F8,83.94
O74060,90.56
A0A7J2TC18,89.88
A0A7J3JQ75,91.0
A0A7J3MZC0,79.44
A0A7J3QDR4,82.5
A0A7J3M2U0,77.94
D3SST1,85.19
B5LRZ3,70.88
A0A0A1E8H8,65.62
A0A1N7G7Y8,75.56
A0A2H4VBS1,91.5
D8J541,93.31
B3T8A2,96.75
A0A2H4V6J0,90.62
A0A2H4VCI0,95.94
L0JJD9,52.69
D8J697,87.62
A0A2H4VE70,92.25
L0JQ36,95.38
D8J435,94.31
D8J4G2,74.25
A0A1B1T9H1,81.62
L0JHH9,48.44
A0A0Q1B7T7,96.31
A0A2H9N4H5,36.19
L0JKG6,80.19
D8JAV9,72.56
B3V6B0,91.88
L0JQN7,68.81
L0JR06,83.69
L0JIP7,67.31
A0A7C2NML7,94.0
E5KJV5,83.5
A0A7C4BBR5,90.94
A0A1I0CG97,95.25
A0A101E041,80.75
A0A7C3MDP6,81.19
L0JLP1,90.5
A0A650CFR0,76.5
A0A7C1HX52,96.56
A0A7C2Z8W7,69.75
A0A7C3MBC3,83.88
L0JJ22,93.31
A0A6M8PK60,85.75
A0A7C4WET5,79.88
A0A7C1NY14,70.69
A0A7C2V9K7,96.12
A0A7C5LAN8,89.0
A0A7C4D201,80.12
A0A7C4NL21,89.94
L0JI59,70.5
L0AH21,88.94
A0A650DKW0,97.94
D0KSQ3,55.0
A0A7C1DZK4,90.0
A0A7C5XMQ9,91.31
A0A7C4D3B3,74.62
A0A7C1GQ17,94.94
L0AI20,90.12
A0A650CDD3,92.62
A0A1D9C8J9,94.56
A6VHS7,89.19
L0AHR6,86.75
A0A643JV86,93.31
A0A7J3JNA7,93.81
A0A7J3Z6S6,76.44
A0A7J3MXP4,96.06
A0A7J2TGT6,84.44
A0A7J3XZ38,91.06
L0ALG9,90.56
A0A643JTM8,94.75
A0A0Q2M150,96.62
A0A7J2U220,88.5
U3MZB7,70.0
A0A520KUQ7,93.19
A0A510N5X4,87.0
A0A088MU75,74.31
V9Z580,74.75
A0A0P0UQ18,70.44
A0A2H4VC30,92.06
A0A7J3X9F1,97.31
L0JES2,89.12
A0A2H4Y9E6,98.25
A0A7J3X789,88.25
A0A7J3SLD8,93.06
A6VJ96,93.25
U3MWY7,69.44
L0JNA3,96.69
A0A0Q2MU43,95.75
A0A7J2U6S6,92.38
A0A088E7Y6,97.06
A0A7J3MYK1,97.25
A0A7J3XYW9,96.06
A6VFV2,81.81
A6VJ70,85.62
E6NAE5,85.38
A0A0Q2QQR3,92.44
A0A1L3Q464,96.25
G1C152,89.44
E4NMP7,93.81
E4NQ75,91.94
A0A7C1GNR5,89.5
A0A7C1GJW1,83.06
A0A7C4NLF7,92.94
A0A7C4D9N5,90.88
A0A7C5LBM9,95.69
A0A1B1TER5,94.12
A0A7C4BBN2,88.12
A0A7C4E195,86.94
A7E014,87.56
A0A2J6N8R3,93.81
A0A2J6N358,86.56
A0A1B0Z1X1,53.12
D5JYX3,71.56
Q8NKL0,98.0
A0A7C4FGP8,91.38
A0A7C3RCC9,94.31
A0A7C3IWU0,92.44
A0A830FLM0,87.44
A0A160VR57,88.56
A0A7C1PCC6,85.06
A0A7C5QKL7,93.75
Q8NKR8,96.62
D6PC88,91.06
A0A7C2VMC4,92.94
A0A7C2ZPM1,92.31
A0A7C3RGE7,97.19
A0A7C4E0V9,93.31
D5JYT8,74.25
E4NQC7,88.19
E4NSI4,89.81
A0A7C3YNW3,91.5
A0A7C5LBW9,95.19
A0A832EVS1,94.88
E7QXE5,81.06
Q64A77,90.88
A0A1H5TQL8,55.0
R9RIX6,83.06
A0A832ZBY2,94.69
A0A0C5PFH6,75.0
F2YTZ9,82.44
A0A832Z4T4,93.69
G4VWZ9,72.75
S5FMZ2,72.81
H9BWY4,72.5
A0A150JEU1,96.94
E7QRI4,70.19
A0A1H5T543,89.0
G3FHA7,87.88
Q5V266,69.69
G1UEX2,69.06
A0A650CTS8,88.06
A8UQH6,98.38
A0A0F2LN01,89.62
A0A0U3GQ46,95.44
A0A7G9Z4U4,91.12
A0A643JWM2,75.5
D3SVU4,93.44
A0A482SY56,78.25
A0A2S1TPM8,69.62
A0A0E3GTS5,90.62
D3T1A2,82.69
F7PPX7,95.94
A0A482TF79,88.06
A9A7L2,87.25
A0A7G9YHP5,80.12
B2YHU1,69.44
F7PKR4,93.62
A8SX65,77.19
A0A0F2LNU3,96.0
I3R3Y2,77.19
A0A7G9Z1G0,61.19
A0A7G9Z210,76.88
A0A7G9Z2E8,81.12
A0A7G9Y859,95.06
D3T1T7,93.88
D3T1K7,96.62
F7PMT9,85.06
A0A7H1KNX8,78.25
A0A497F7K4,96.12
A0A2L1CCQ3,79.94
A9A7G2,81.56
K4HTP0,74.69
A0A7G9Z311,90.38
A0A1D8S5N7,90.31
A0A7J3X6T9,93.25
A0A7J3MZ68,95.62
A0A7J3YUS2,91.5
A0A1B1W650,77.56
A0A075FT17,79.31
A0A075FYA3,93.56
A0A075ICZ3,89.44
A0A0F7PAB4,96.56
A0A1N5VKK5,94.88
A0A650CEA1,84.81
A0A0S1TLP7,77.06
A0A7J3JRA1,60.28
A0A075GZZ5,84.25
A0A075H1W0,96.81
A0A075FLJ5,93.19
D7DRG6,89.5
A7Y3R4,98.38
A0A1G6TED0,90.75
A0A7J3MY94,95.38
A0A7J3QFB3,89.75
A0A7J3QFT7,93.19
Q9C4D4,98.56
A0A075GWF6,93.81
A0A075H2S3,95.12
A0A075HQP7,57.84
A0A075GNI8,85.94
V5M4E0,75.0
A0A0F7PBT2,97.56
Q467K6,91.88
A0A1G6NKX1,74.62
A0A7J3I727,66.06
A0A7J3M1V6,88.56
M1Q4C5,92.0
M1QDI4,97.25
A0A075G1S8,84.38
A0A075HEA4,96.75
A0A075G8P5,77.69
A0A075FPR1,91.06
A0A075HBN9,82.88
A0A075FIH0,83.5
A0A0F6Q612,76.81
A0A1L3Q4N2,94.88
A0A650CGK5,95.25
A0A1B1TG42,86.69
A0A075HW82,85.56
A0A075G0F6,92.06
A0A075I605,77.81
A0A1B1T904,76.38
A0A7J2U1R2,94.94
A0A7J2U484,79.88
A0A075H5V4,93.75
A0A075HN59,93.25
A0A075FZG4,89.19
A0A075G0N8,84.44
A0A650DKH9,98.0
D6PCA5,62.06
A0A1G6JH35,85.69
A0A1I0I2X0,90.12
A0A7J3QFG8,93.62
A0A075G1W7,93.31
A0A075I784,72.0
A0A0F7PBD3,92.62
E4NLZ4,88.69
A0A7C4BAM0,90.12
A0A7C5UWH1,89.81
A0A6S4IAF7,76.25
A0A7J3WC25,93.81
B6V1U3,64.31
A0A7C4FF02,83.75
A0A7J3WAJ0,92.38
A0A5N5UF41,96.69
A0A5Q2WUB3,67.62
A0A7C4H3P9,78.0
A0A7C2ZP00,78.75
A0A7C4JJ89,96.44
A0A7C4JK20,93.44
A0A7C2Z9L5,91.44
A0A7C4JLT4,83.56
A0A7C2BKD0,89.81
A0A7J9PLB7,84.25
A0A345DZ01,87.38
A0A7J3VUM1,70.81
E4NW00,80.75
A0A7C4I8V0,83.81
A0A7J4JHW2,79.88
A6VFB9,94.5
A0A7J9RXH1,88.69
A0A5N5U9A8,95.81
A0A7C3RC36,80.94
A0A7C4NNW6,95.56
A0A7C3IWF1,87.56
A0A7J9NI40,90.94
A0A832C751,88.69
A0A7J9P887,92.62
A0A7J3VSF7,89.56
A0A5N5U5S1,93.88
A0A315BB10,78.94
A0A7C4D3E8,95.12
A0A7C1IIB6,84.19
A0A7C1GSA8,89.0
A0A7C3ZFJ4,89.06
A0A7C5LC27,76.0
Q64AC8,36.41
A0A7J9P5T3,95.0
A0A1Q2XCW1,98.19
L0ALR5,88.94
D8JCB7,63.19
D8J922,94.62
F2ZB13,78.25
A0A0G3U9A1,73.75
A0A0Q2UNB8,87.81
A0A0Q2XP76,95.69
A0A7J4JJM9,93.88
L0JPK6,78.06
Q2I6C3,80.56
B3V698,84.94
L0AI46,89.12
B3UZF0,74.62
B3V5F0,91.94
W6A2U7,74.56
A0A1H7LG50,78.19
L0JIR6,88.25
L0JGS8,67.31
B3T642,94.12
B3T4X8,79.19
L0JLU7,86.62
B3TAZ2,92.44
B3T9A3,92.0
A0A0P9CVX9,97.0
A0A345EDV1,77.38
A0A371R6N4,45.75
A0A285FTR6,81.06
A0A1N7ESP1,93.19
A0A832ELH8,95.88
Q5UXI3,72.69
A0A150JJM0,89.38
A0A345DZX9,81.69
A0A286P173,83.44
A0A1N5TF79,96.25
A0A1N5UKZ6,98.12
A0A1N6Y7Z8,80.75
F7PFK2,89.56
E7QT97,88.06
A0A1N7A873,83.5
A0A345DZK7,93.06
A0A1N7F7L1,88.62
F7PJY5,93.88
A0A1N5U4R1,84.88
A0A1L3Q209,95.19
A0A830FHF1,85.44
E7QS10,95.31
A0A0E3MFR1,96.12
F7PJ77,92.62
A0A150IIL4,93.75
A0A1K2FGP7,98.44
A0A285FYY6,88.0
A0A285FUQ4,92.25
A0A285G6Z1,88.31
B6D919,59.31
A0A482T7V5,73.69
A0A833E4H0,91.88
Q75WL0,97.31
A0A497EYF7,90.19
A0A7C2V9W4,96.62
A0A7C4BCU2,59.12
A0A7C3J424,60.38
A0A7C4D442,96.94
A0A0F2LT20,95.44
A0A1V0N9Q6,75.19
A0A023T3R5,97.94
A0A023UJ84,98.5
A5YT02,60.22
A9A8C0,83.12
Q0ZNR5,50.5
E4NTC7,94.31
A0A7C4D6X5,92.69
A0A7C2FFH2,96.38
A0A7C5QDP3,48.44
A0A7C4S694,85.0
A0A7C3SM62,87.81
A0A7C4H5A1,91.0
A0A7C2V9M9,93.5
A0A7C3RCH0,93.06
A0A7C4JKW2,91.31
A0A6C0USU5,93.69
A0A6C0UXC4,79.94
Q5V176,81.94
E7QUH0,83.81
A0A7C1SMQ0,91.06
A0A7C3M9X7,89.38
A0A7C5U937,93.81
A0A7C4E396,84.5
A0A7C5L6M7,91.81
A0A7C3EWI4,95.44
A0A7C3SKQ3,81.69
A0A7C4FFK0,78.75
E7QXL7,86.94
U3MYE0,71.5
A9A7J1,91.38
E4NLM6,97.19
A0A7C3YGC5,88.5
A0A7C4WDN7,89.94
A0A7C1T6V7,85.88
A0A7C3MD07,97.38
A0A7C4W3C8,54.31
A0A7C4FC33,95.25
A0A7C4D4M1,83.81
A0A7C4I8F3,96.44
A0A068FN58,80.81
A0A0E3RL59,87.5
Q9UXI7,82.0
A0A7C4D3A1,96.19
A0A7C4FHU3,95.25
A0A7C3MC55,82.88
A0A7C4JLH6,92.88
A0A7C1PCE0,87.69
A0A7C2ZV12,87.56
I1X924,97.94
D3STA0,77.06
G1CVL4,71.69
A0A7C5TF77,87.19
A0A7C1CDB1,88.81
A0A7C5U5S8,83.06
A0A7C4E1N7,92.5
A0A7C3YQN2,95.75
A0A7C4B9F0,73.06
A0A7C4E2R9,80.94
A0A067Z900,75.44
E7QZP0,96.5
A9A7F2,88.25
Q9V1Z1,86.81
G0YXZ8,74.75
A0A7C3UCX4,96.19
A0A7C4NMM1,86.12
A0A7C1CDS6,74.62
A0A7C2NSD7,96.94
A0A7C2NH28,93.38
A0A7C5L6N5,89.06
A0A833E3L8,87.06
A0A832ZK30,97.06
A0A0E3MIM5,60.41
A6XK96,79.88
Q5V4P5,95.88
A0A0E3MCV4,96.62
A0A146KWI9,56.84
A0A150JKF8,44.72
A0A170SWS0,91.56
A0A1Q1NAV9,98.56
S5Z676,88.69
E7QQA4,91.31
E7QTP1,91.62
A0A2H4VRJ4,86.62
A0A1P7ZAG3,97.38
A0A5N5UFH0,93.12
A0A0Q0WIK3,86.25
A0A0Q2RFD5,83.88
A0A0Q2REQ8,87.69
A0A1Q2XCE9,98.44
A0A0E3RWS3,90.31
I3R6Z1,92.31
A0A0U3FH85,90.56
A0A0P9D2R9,96.5
A0A0N8PQJ0,87.56
Q5V270,95.69
E7QV15,90.5
Q5W2P7,87.5
E7QUU5,96.56
A0A2H4VBX3,61.84
A0A0A7UZS8,89.38
A0A150IP75,95.38
S6D251,62.0
A0A157T1S1,75.0
A0A150JI98,95.0
A0A150IIX9,95.0
A0A0Q2UNJ6,80.94
E7QVH8,94.19
A0A0E3PY48,82.44
A0A0M9AHV1,93.81
B6S3V3,70.19
I3Y1P4,98.19
I0CAH7,70.88
A0A075G566,90.44
A0A075GHX7,75.38
A0A075HFQ0,82.12
A0A075GKB1,81.75
I3R648,91.38
A0A7G9YLD7,94.69
A0A345E907,94.56
A0A447IUA6,94.44
A9A9V7,89.94
G3KDT5,69.44
I3R6R4,94.56
A0A7G9ZAN9,92.5
A0A6S4ICZ1,72.94
Q9V139,83.62
A0A0H5AWZ1,71.12
A0A075HF37,93.81
A0A075G5W4,83.38
A0A7G9YNH5,82.06
B5TLZ7,94.5
A9AAC5,91.88
A0A2L1CB27,91.81
Q46A04,74.0
A0A075GW29,92.69
A0A7G9ZBX1,91.0
A0A7G9ZC43,97.44
A0A7G9YLQ7,59.0
A0A7C3J549,80.75
D2TFT7,98.38
A0A0D5CSW1,71.75
A0A2L1CDP3,90.94
Q46B72,71.75
A7Y3J2,98.44
A0A075HLK1,89.81
A0A075I1V7,85.69
I3R0S9,80.31
A0A7G9Y3M8,92.38
A0A7G9YK69,92.69
A0A7C3J265,96.12
A0A0C5B4K6,65.62
A9A7H2,81.75
A0A075HRA3,82.38
A0A075GTK2,52.97
A0A075FK03,84.81
I3R190,90.0
A0A0U3HB79,45.12
A0A7G9YV63,91.88
A0A0C6FXL3,66.81
A6VJF5,86.0
A0A7G9YW56,81.5
Q9UYD0,92.06
D4N7D0,82.75
A0A7G9ZC28,94.25
I3PBH2,70.25
A0A7G9Z8V5,89.5
A0A7G9ZCY0,54.91
A0A7G9YWQ4,76.69
F6N2L3,74.56
D4NRN8,98.44
A0A7G9Y305,90.0
A0A7G9YIW7,81.88
I3R349,77.38
A0A7G9YWE1,93.75
A0A7G9YI10,89.75
A0A7G9Y6A8,91.19
A0A059VB84,93.38
A0A7G9Z1D7,90.0
A0A1N7E568,93.62
Q0ZNM5,80.19
A0A7G9ZCP4,93.0
A0A285GFL1,78.62
A0A1L3Q2N8,94.62
I3R3K1,88.38
A0A7G9Z693,94.81
A9A7D1,91.38
A0A2H4VR70,91.69
L0JJL3,90.62
L0JLP4,97.12
A0A7G9YIF2,62.75
L0JP32,79.31
I3R1Q3,94.0
A0A7G9Z4N6,89.75
A0A7G9YPN6,84.12
A0A7G9YS09,73.25
I3RAU9,89.25
A0A7G9Z6B0,92.19
A0A7G9Z0S3,60.78
A0A7G9Z997,85.0
A0A7G9YA62,96.81
A0A075HT57,71.81
A0A075FQU2,91.38
A0A075IDM2,92.25
A0A0F7PAY6,95.0
G3KFZ0,74.06
A0A650CSV3,86.38
A0A0F7P839,95.88
A0A2H4NDC1,63.84
D0KQE0,92.19
A0A2K9YWR5,71.81
A0A345S5U2,72.06
A0A060GQY9,98.31
G3KDS3,74.44
C7S8P9,77.25
A0A0F7P5T6,87.31
A0A2H4VRR2,84.31
A0A101IRK8,89.19
A0A075GZF2,92.5
A0A075I1T2,88.31
A0A075FKK4,90.38
A0A0D5CE20,89.81
A0A643JYR3,92.0
A0A0N8PQ98,85.62
A0A0Q2M4G3,93.19
A0A075GZQ6,78.25
Q8NKP7,92.31
A0A124F7S3,89.44
A0A101GR23,97.25
Q46AW2,87.44
A0A075G6R3,85.69
A0A075HCM0,85.56
A0A075HFX0,83.69
A0A075GQZ6,51.88
A0A075IES9,82.0
A0A075I949,80.5
R9XX55,75.0
E4NL16,86.12
A0A7C3UCA7,88.0
A0A075H777,90.56
A0A075H2C5,93.0
A0A075H0P6,93.38
A0A7C3YPS7,96.38
A0A7C4D419,94.06
A0A7C5XJV1,89.19
A0A1W6R7C7,98.5
A0A075HG68,83.12
A0A075GU40,92.5
A0A520KHJ7,67.25
A0A088E3L2,97.19
B0FNL3,62.5
X5D3I8,65.62
E4NRM6,94.44
A0A7C4JLV5,62.72
A0A7C4E1A1,92.0
A0A650CJP5,69.06
A0A075G538,90.56
A0A075FQV8,80.5
A0A075I2M0,88.94
A0A075GJP1,82.94
A0A285FZC8,95.94
E2FKP4,72.25
G1CDH3,72.5
A0A7C2FFQ5,79.12
A0A7C4E0T5,84.56
A0A7C5U5W4,91.12
A0A160VTE2,77.62
A0A075G6P6,91.44
A0A075HKY3,78.31
A0A075GKJ0,81.81
A0A1N7BN89,91.5
A0A1L3PZV1,93.5
G0T7Z6,94.56
A0A7C3WWB3,80.06
A0A075HI26,89.56
A0A075GUN2,92.06
A0A075FRU1,89.62
A0A075G2M9,90.19
A0A1N5US35,92.44
A0A1N7E121,91.62
A0A090JVB3,96.31
A0A7C4BCC4,92.19
A0A7C5XHL9,82.44
A0A7C2Z9I2,92.44
A0A7C1CEU3,86.94
A0A7C5QDS1,88.38
A0A7C5Q5V5,85.0
A0A7C5Y955,97.12
A0A6S4LJB9,74.44
A0A075HH96,92.56
A0A075GUZ2,73.69
A0A285EQ79,87.62
A0A0A1E9H3,73.94
A0A7C3WPQ0,90.06
A0A7C5QMR3,94.5
A0A7C4E241,92.06
A0A160VUJ6,97.06
A7E0W7,97.38
A0A650CHB0,94.69
Q46AV7,82.69
A0A075HD15,82.19
A0A075GIX9,79.5
A0A075GMH6,82.69
A0A075I719,88.12
G3FH06,72.62
A0A650CUM0,93.0
A0A075GYE0,88.38
A0A075GNH6,67.94
A0A075GXR7,94.69
A0A075I1C1,90.38
A0A075FX63,86.12
A0A0D4CZ74,97.06
A0A075I075,87.75
A0A643K1K2,89.06
A0A7C3J3V8,57.81
A0A075H309,95.62
A0A075HXE3,75.94
A0A075H0R4,90.44
E6N7G4,85.12
I2ECK2,95.94
C6L8L7,68.88
A0A650CF69,35.94
A0A0F8JIU6,87.19
A0A0F6Q6L8,90.81
A0A075HJI3,91.0
A0A650CWC3,94.88
A0A075HDY6,96.69
A0A075HKE2,90.81
A0A075HU85,88.38
A0A075HNS7,85.19
A0A7C3IRX3,81.06
A0A075HSJ8,94.25
A0A075G4X1,96.38
V5M1J8,67.5
Q46B98,88.31
A0A0Q2M1G6,92.62
A0A482T0L1,86.44
F7PJM2,90.0
F7PF88,96.75
E3VP45,97.5
A0A650CHN9,89.06
A0A160VT18,83.62
D3SWY5,86.75
F7PN20,95.62
E3VNF9,88.56
A0A0M9AJX3,82.75
A0A2H4VD95,91.19
A0A643K245,95.25
A0A160VU92,94.31
A0A023T6I6,97.81
A0A1H5UCI6,68.88
A0A2H4V9V4,97.44
A0A643JZ40,60.59
A0A643JXB4,73.31
D3T117,88.88
F7PJI2,87.5
A0A2H4VTW1,93.88
A0A1H5UNK8,94.19
A0A650DJK7,97.94
D3SXI1,88.88
A0A3M9L5A6,91.62
A0A643JP20,89.25
Q46ER8,91.56
A0A024BP11,74.62
A0A650CX57,80.56
A7E121,97.44
Q9C4G7,98.0
A0A6C0UUI5,80.75
A0A314ZY15,90.44
A0A8A2U481,89.75
A0A5N5U5U7,88.0
K4HTN8,70.56
A0A830FWK1,76.38
A0A2J6N2P0,87.75
A0A088E381,81.25
A0A314ZTY0,84.38
M1PYA1,97.75
A0A830FED0,88.0
D6PAY8,91.44
A0A832AVS4,96.44
A0A075HJL8,87.75
V6ASX9,93.38
F1A8T2,94.75
K4HVS2,75.0
A0A075G457,95.81
A0A075FQ04,89.25
A0A075I673,81.38
A0A101E260,90.88
A0A075G360,89.0
A0A075HTT4,93.69
A0A075GB95,76.62
A0A075GB71,65.88
A0A075FHD9,74.81
A0A0F7P9B0,90.12
A0A0A7GF53,92.44
A0A075HPP0,95.69
A0A075FFS7,81.62
A0A075G264,93.94
A0A075FZ74,88.56
A0A0F7KNC5,80.31
K4HYR6,68.88
A0A558GDM1,94.69
A0A558GC65,96.5
A0A075HTJ1,71.94
A0A075HTM4,34.19
A0A075GQT6,90.56
A0A075I1W6,91.0
A0A075HY61,89.81
A0A075I617,94.56
A0A1Q1NAT0,97.0
A0A101DZA0,92.31
A0A0Y0BMY9,98.19
A0A075HPI5,89.94
A0A075GDK1,89.44
A0A075I6G4,94.5
A0A411H8R4,91.19
A0A558GBP4,92.94
A0A075HDR8,90.88
A0A075FRE5,90.12
A0A075I618,72.81
A0A075GC95,91.19
A0A075FVK5,92.69
A0A117KUE6,91.75
A0A117LPF1,96.44
L0JIU9,90.88
L0JIM6,87.0
A0A1G6TPU3,94.62
A0A7J3M1D7,90.69
A0A117LG07,79.88
L0JQB7,91.25
A0A1G6TZX7,89.38
A0A7J3M1I2,95.38
A0A101DZX4,90.56
L0AKA5,79.56
A0A1I0JBI2,63.28
A0A7J3VTF7,92.88
A0A7J3UZY9,95.06
I7CXU0,77.0
L0AMM6,96.06
A0A1G6K518,76.12
A0A1I0JPU2,90.0
A0A1I6Y4Y5,94.0
A0A7J2U2T3,96.5
A0A7J3I8G8,94.06
A0A7J3KFJ7,90.62
A0A7J4IRQ1,86.44
A0A7J3V135,38.47
D0KS94,95.88
A0A558GDS2,86.25
A0A1I6YIQ0,80.38
C0LKX2,97.94
A0A7J3QE04,93.38
A0A7J2U4C8,87.38
A0A7J3I5C3,94.62
A0A6C0UVY9,91.38
A0A101FVJ0,96.62
L0JME9,79.5
L0CKH1,98.19
L0JPE8,48.97
L0JI68,80.12
A0A2G9LJ48,86.56
B0F2R9,62.81
A0A7J9P8K4,97.56
A8D4J3,75.5
A0A101IME0,85.94
A0A1I0I9F4,70.19
A0A7J3JPA9,96.31
A0A7J3VTZ9,71.38
A0A1B1TAJ0,74.5
E4NN32,51.06
E4NWC1,91.31
A0A7C3UCI0,92.56
A0A7C3SMX3,86.94
A0A7C4JLY6,82.81
A0A7C4E1W9,87.69
A0A811TKB9,93.88
A0A891LXN2,88.75
B2CGK6,98.31
D3ST55,81.62
A0A497EVS5,95.31
A0A1B1T9Y7,92.56
A0A7C4S693,94.75
A0A7C3ULD5,94.75
A0A7C2S6P1,96.5
Q5W2Q5,93.12
A0A068FYX8,76.5
A0A497ESD5,81.0
A0A830FEY8,89.38
A0A7C4FAV5,85.38
A0A7C1E485,91.81
A0A7C1E296,91.94
A0A7C4DAN8,86.06
A0A7C5YB07,88.12
E7QU94,90.31
A0A0E3K1H9,95.56
D0EGC3,70.94
A0A650CUW7,95.75
A0A650CW13,91.56
A0A7C4JM70,87.5
F7PH80,86.88
A0A1B0V8Y9,73.31
A0A7C4JKV0,93.38
A0A7C5Z577,35.5
A0A7C1CC40,52.56
I3R7F9,91.69
D3SUQ9,92.06
B0KX97,96.62
A0A1B1TDW5,85.19
A0A1B1TES5,93.06
E5KBS1,95.31
A0A7C4NLG7,87.31
A0A7C5XKR8,96.0
A0A7C3J1W7,90.12
A0A7C3F5M9,88.56
A0A832Z9S3,78.88
A0A024J3V4,98.44
A5YSH0,38.44
A5YSU0,85.44
A0A832AR65,87.06
A0A7C5UTQ0,91.69
A0A7C4DAT9,96.06
A0A650CW56,90.06
A0A1B1TAB7,82.38
D0KSX3,86.75
Q1HD40,74.81
L0JHP2,87.94
A0A124FM18,72.19
A0A558GCE9,92.94
A0A830FC49,69.81
A0A0B5JID2,76.12
A0A088MTM5,67.12
A0A117KMG4,85.94
A0A101DEX5,81.56
A0A830F8I4,87.12
A0A830FW07,91.38
A0A088E8H1,85.38
L0ABP1,89.44
A0A847UR75,95.69
Q5V305,80.31
A0A101ILX6,91.94
A0A101J1S9,83.56
A0A117MCW9,80.31
A0A0N0BNM1,79.44
A0A830FNK5,96.94
A0A830FHK9,95.88
A0A088E5V8,94.75
L0AKW6,81.69
A7U119,91.75
D0KNY7,92.88
D0KU54,94.56
L0AM86,84.62
A0A0X3BLT1,96.5
A0A0X3BKL8,89.81
A0A0Y0BHU6,97.88
L0JQD9,84.75
A0A832Z7A0,86.62
Q5V2D2,83.38
Q1HDA9,70.81
D0KV62,93.25
A2TI35,98.31
B3V5T9,97.56
A0A0G2RHL1,97.88
E4NRX1,94.88
A0A7C5XHZ3,86.0
A0A7C2Z8N0,74.19
A0A7C4JMT1,86.38
A0A7C5U518,94.38
A0A7C5L7V2,93.06
A0A7G9YBL9,93.31
A6VK48,87.06
A0A7G9YVT3,94.56
A0A7G9ZB15,92.19
A0A7G9ZB25,88.31
E4NM14,84.0
A0A7C1NXN2,96.69
A0A7C4B9Z1,96.0
A0A7C1HWY4,95.5
A0A7C2ZQM3,83.38
A0A7C4I6E7,93.19
A0A1H5Z452,92.19
E7QUS8,89.69
A0A0U2Y2S3,87.0
A0A7C3SP01,49.0
A0A7C4FFQ3,67.62
A0A7C4FBZ1,91.25
A0A7C2G0Z0,88.5
A0A7G9Z332,96.31
A0A7G9Z6N4,77.62
A0A7G9YQQ9,88.06
A6VJD4,40.81
A0A811T3G2,89.44
A0A7G9YY55,38.66
A0A7G9Y4I8,92.69
A0A1H3ZSZ8,85.0
G0T6H7,72.06
E4NT32,80.69
A0A7D5T2K9,60.88
A0A7C4FGL4,93.88
A0A7C5TJ50,96.06
A0A7C4FGT9,86.75
A0A7C3RCA9,88.62
A0A0U3HH07,87.38
A0A7G9ZAT3,82.06
A0A7G9Y0B4,87.5
V9QLY0,67.75
A0A1V0NAM0,77.25
A0A7G9YU76,91.69
A0A7G9YS91,59.22
G0T6N2,72.19
A0A7C4FEI5,94.56
A0A7C1IIJ9,89.69
A0A7C4JL83,89.44
A0A7C5QEE0,93.94
A0A0U5D2J1,73.44
A0A7G9Z396,88.94
A0A7G9YJL5,92.06
Q3BBE9,96.56
A0A4D6HPY8,95.56
A0A7C5TJM8,97.0
E7QSC7,90.0
A6VFH6,82.25
A0A7G9YB92,93.19
D8J363,76.88
G0KZE8,40.59
A0A7C3RMV7,92.62
A0A7C3MB52,94.0
A0A7C2BLL5,86.44
A0A7C2G0J3,95.19
A0A7C4E2C2,92.31
A0A0E3GV37,90.88
A0A1Z1GZI7,97.38
A0A1V0N5S2,85.0
A0A371R710,80.19
F7PNN0,88.94
A0A0E3KB24,93.94
A0A7G9Y117,92.12
E7QR77,81.81
A0A7C3WJI9,85.81
A0A7C2VDS5,85.75
A0A7C1GP19,89.19
A0A7C5L8U3,96.94
A0A7C5QA94,89.62
D3SZ41,46.16
Q5V3B0,56.12
A0A150JCG3,90.81
E4NQX9,77.69
A0A7C4F9M2,92.12
A0A7C4JJZ8,83.88
A0A7C5THK4,94.94
A0A7C5L8I3,90.44
D3STQ3,91.31
D3SW56,82.69
B6D947,85.12
D3SRR1,96.5
A0A0F2LKB9,82.12
I3R1Y6,95.75
B2YHQ3,74.25
B2YHJ6,63.59
Q5V3V1,80.12
E7QQW6,89.19
A0A7C1GAH1,95.5
A0A7C5YB83,93.0
A5HAW5,74.62
A0A024BL27,76.44
A0A7H1KP12,83.31
G5CP72,98.19
A0A150JDQ1,93.06
B3Y8F8,65.12
A0A7C4H9X1,88.81
A0A7C2ZPP1,36.09
A0A510N7M2,94.69
A0A088E560,84.69
